gene	HC1	HC2	HC3	HC4	M1	M2	M3	S1	S2	S3	S4	S5	S6
PBXIP1	458	209	374	58	627	630	17	284	460	21	70	49	38
PYGO2	135	76	166	26	371	286	9	173	429	25	51	49	28
AL451085.2	17	7	23	6	10	12	0	14	11	2	2	1	3
SHC1	532	275	671	122	2036	1685	47	1241	2990	116	432	353	155
CKS1B	2149	943	1333	416	1475	1584	29	487	1199	70	132	99	68
FLAD1	552	287	506	130	1123	1051	31	621	1461	48	183	131	84
ZBTB7B	406	195	506	97	746	598	26	665	1748	90	189	130	51
DCST2	8	0	3	3	3	3	0	5	9	0	0	0	0
DCST1-AS1	17	17	28	4	5	8	0	3	4	0	1	0	0
ADAM15	570	319	794	180	987	1118	41	942	1973	77	393	121	124
EFNA4	243	107	141	45	209	265	10	103	224	19	22	26	8
EFNA3	16	3	15	11	18	12	0	12	17	2	2	2	0
SLC50A1	909	345	712	272	2416	2338	73	1153	3944	153	330	339	163
DPM3	3226	1736	1876	591	2650	2718	68	1647	5332	269	405	189	364
KRTCAP2	7556	4414	3866	839	11694	10672	461	9497	15482	796	2188	2267	1360
TRIM46	9	0	9	2	11	19	0	7	32	0	2	0	5
MUC1	5	13	3	90	31	14	3	227	344	9	73	38	48
AC234582.1	1	0	2	30	5	0	0	13	32	3	3	1	5
THBS3	86	51	76	20	219	192	9	372	529	24	82	44	23
MTX1	1811	737	1378	335	2416	2717	92	1650	3484	144	512	327	281
GBA	1181	583	1260	239	2887	2780	131	3429	6187	375	730	390	367
FAM189B	200	94	137	69	619	486	17	220	622	24	80	26	26
SCAMP3	1273	635	981	220	2642	2638	95	1320	3954	167	523	330	194
CLK2	156	87	192	29	430	395	18	676	1229	74	149	97	91
HCN3	8	9	13	1	10	16	0	18	30	1	4	3	4
FDPS	1839	1122	1298	540	1428	1396	31	701	2137	99	183	152	180
RUSC1-AS1	27	15	57	5	52	57	2	62	90	8	9	10	5
RUSC1	225	123	189	94	711	565	25	530	1097	90	202	118	50
ASH1L	1046	729	1644	153	1924	1738	42	1161	2478	199	246	160	186
ASH1L-AS1	23	18	92	23	313	228	8	289	588	53	47	62	34
MSTO1	111	64	86	21	250	195	4	165	264	12	63	66	36
YY1AP1	409	202	469	95	1168	910	46	1102	2692	213	295	200	164
DAP3	1509	950	1174	368	2506	2303	101	1741	3753	171	501	418	330
GON4L	340	221	617	108	1270	958	29	785	1818	125	212	147	116
SYT11	199	121	248	38	335	461	10	450	583	62	87	38	37
RIT1	1078	479	1246	193	1256	1178	76	2234	6537	443	455	568	290
KHDC4	376	279	671	81	469	417	19	380	700	89	60	63	68
ARHGEF2	1143	602	1030	195	1645	1506	66	1865	4227	433	362	302	279
AL355388.2	41	29	37	1	23	26	0	29	39	7	3	2	12
SSR2	7462	4042	5195	1213	8576	7780	243	3562	10230	584	1772	1632	1142
UBQLN4	232	118	238	33	395	327	19	335	555	48	77	41	37
LAMTOR2	10326	5250	4962	1952	8885	8626	236	4164	11897	344	1367	835	603
RAB25	4	1	0	40	3	1	0	11	13	1	10	0	2
MEX3A	18	7	13	3	6	7	0	2	8	0	0	1	2
LMNA	7204	2144	7533	2554	7702	9502	1174	10855	10508	688	4377	2069	3149
SEMA4A	146	61	195	32	1193	743	75	1810	4280	479	404	244	100
SLC25A44	182	112	256	54	397	334	14	349	869	63	106	55	65
PMF1-BGLAP	10	19	5	0	14	17	1	16	28	6	7	0	1
PMF1	1267	492	775	229	221	243	8	259	567	43	73	63	33
BGLAP	11	17	9	0	4	2	0	16	26	0	1	1	2
PAQR6	11	17	29	6	47	28	0	43	67	8	13	10	3
SMG5	400	209	497	79	1245	973	39	793	2539	157	263	194	138
TMEM79	56	38	81	22	188	157	2	141	358	17	28	41	18
GLMP	995	571	784	265	4274	3462	172	4389	9211	474	994	1788	457
CCT3	2258	976	1503	408	3056	3221	103	1874	4636	184	604	479	426
C1orf61	1	0	0	0	2	2	0	12	39	7	0	4	0
MEF2D	253	182	254	87	474	407	29	985	2194	205	381	258	120
AL365181.1	2	0	0	0	0	0	0	5	3	0	0	0	0
IQGAP3	37	3	20	3	4	4	1	21	21	0	15	3	1
NAXE	1727	965	1212	400	2645	2697	84	1292	2860	124	555	212	179
GPATCH4	783	394	624	107	1275	954	34	608	1208	61	205	70	105
CRABP2	3	0	3	30	1	3	0	8	114	2	18	6	5
ISG20L2	536	270	637	106	958	702	22	660	1379	84	187	95	82
RRNAD1	319	183	362	75	644	622	23	404	850	55	118	82	52
MRPL24	1750	945	831	264	1814	2049	41	958	2421	63	359	156	224
HDGF	918	398	984	301	1396	1186	57	1301	3277	266	405	198	227
PRCC	601	273	424	162	1369	1188	41	766	1894	77	273	187	108
SH2D2A	44	6	10	6	47	23	2	80	153	0	12	15	20
LRRC71	2	0	1	37	4	2	0	7	18	9	0	1	0
ARHGEF11	388	194	563	30	1492	1015	46	1634	2274	273	346	180	114
ETV3	257	165	254	34	437	371	37	476	1291	105	99	71	81
FCRL2	82	10	84	15	26	25	1	3	8	0	1	0	4
FCRL1	53	14	136	11	110	63	3	5	11	0	0	0	2
CD5L	347	22	390	94	341	247	23	45	94	0	9	0	10
CD1D	175	147	250	32	1621	1118	6	238	1263	13	94	24	15
AL138899.1	9	0	16	0	2	0	0	3	2	0	0	0	0
CD1A	16	0	29	1	0	1	0	8	8	0	0	0	5
CD1C	70	10	124	15	21	3	1	33	35	4	7	5	11
CD1B	21	0	10	31	0	0	0	4	23	0	0	0	0
CD1E	58	8	112	18	1	0	0	3	6	0	2	0	6
OR6K3	3	3	4	0	4	3	0	0	0	0	0	0	0
OR6N1	314	18	347	29	5	51	0	3	54	2	3	0	0
OR6N2	2	0	9	0	0	0	0	0	0	0	0	0	0
MNDA	21351	13731	17022	1959	40518	33693	770	17425	38795	938	3716	3058	964
PYHIN1	82	32	19	9	91	51	9	71	97	2	9	5	10
IFI16	3980	2877	3542	488	17211	13124	439	17504	28537	1455	2762	2513	1400
AIM2	181	93	55	19	2251	1453	60	1816	5463	172	291	100	87
CADM3	4	0	2	3	6	8	0	0	2	0	0	0	0
FCER1A	120	4	155	1	26	1	0	0	2	0	0	0	0
DUSP23	3784	1786	2006	763	3656	3908	108	2559	7327	209	923	494	379
FCRL6	6	12	29	1	80	58	3	6	6	0	2	0	0
SLAMF8	1639	738	1377	401	5781	5414	87	3225	9063	366	670	267	515
AL590560.1	11	8	22	3	86	69	1	15	50	7	4	4	1
VSIG8	14	16	15	6	15	25	0	14	49	2	11	4	3
AL590560.2	4	0	4	0	1	15	0	8	8	0	0	0	0
CFAP45	9	7	3	71	14	11	1	41	38	20	2	0	8
TAGLN2	22811	5629	13778	6382	27872	31493	1472	24243	35283	1884	6143	2132	4377
SLAMF9	95	73	110	8	86	173	6	225	511	22	106	10	31
KCNJ10	6	0	6	0	16	5	0	35	112	6	0	0	0
PIGM	344	291	468	38	462	441	12	333	660	38	59	23	43
IGSF8	310	174	497	119	740	951	35	451	1040	50	108	71	32
ATP1A4	7	0	0	0	14	5	0	3	2	0	0	0	0
AL121987.2	3	4	7	1	8	6	0	6	30	2	1	5	4
PEA15	931	515	805	290	3364	2073	147	3950	8850	763	1082	400	613
DCAF8	599	341	625	138	1251	1128	39	569	1304	79	127	79	66
AL139011.1	3	0	2	0	17	10	0	25	60	0	5	1	4
PEX19	998	528	1213	208	1626	1700	34	513	1352	43	180	123	96
COPA	1632	1038	2703	365	3323	2803	113	2814	5818	278	762	356	439
NCSTN	2102	1241	2901	381	4630	4995	137	2094	4139	190	607	377	244
NHLH1	3	4	1	2	1	0	0	13	26	5	5	3	2
SLAMF6	38	30	62	4	196	89	3	210	187	14	15	8	8
CD84	1293	914	2083	177	4524	2412	212	7229	12879	639	1249	300	428
SLAMF1	30	3	13	7	50	22	6	176	758	81	28	44	37
AL121985.1	18	15	25	6	301	216	8	96	228	23	19	2	7
CD48	815	755	638	166	2851	2649	115	9451	27679	1500	1770	1124	872
SLAMF7	81	80	70	57	2396	1114	177	5357	30178	3089	757	210	436
LY9	21	27	26	5	497	159	31	380	290	211	86	92	16
CD244	49	27	25	3	107	92	0	83	79	4	9	4	10
ITLN1	286	181	63	32	177	307	4	45	20	0	20	2	4
F11R	910	671	1048	183	1190	1130	51	507	871	93	166	96	59
TSTD1	2812	1580	1507	684	2095	1773	75	908	1534	107	266	76	107
USF1	111	114	471	28	1237	965	15	465	1313	54	153	84	66
ARHGAP30	2957	1480	2382	532	3565	3248	113	3038	6018	353	766	455	494
NECTIN4	5	9	16	17	35	31	2	139	109	16	31	5	8
KLHDC9	70	22	26	45	38	54	0	8	7	2	1	0	2
PFDN2	5811	2998	4077	1060	7160	6969	285	5785	12999	598	1032	1068	859
NIT1	1088	520	765	203	1985	2176	57	1002	2763	118	223	192	116
DEDD	606	259	450	154	1696	1339	48	893	2206	77	378	213	115
UFC1	5856	3186	3558	1197	5830	5712	174	2783	5987	317	835	434	449
USP21	102	71	60	13	313	315	18	168	266	13	57	19	10
PPOX	178	93	140	61	259	280	6	68	106	4	36	9	18
B4GALT3	415	234	295	122	835	814	21	688	1781	74	209	110	65
NDUFS2	2806	1492	2167	426	3180	3678	91	2040	4664	260	518	357	292
FCER1G	139800	65109	51497	19248	115766	113530	5376	154276	290832	14444	25724	25153	19256
TOMM40L	84	53	161	18	301	244	10	405	1018	37	126	102	43
NR1I3	4	4	2	0	2	2	0	6	16	0	0	1	0
MPZ	65	32	65	15	52	72	1	40	66	2	22	9	19
SDHC	4211	2124	2594	876	4209	4712	146	2334	5296	244	822	543	601
CFAP126	6	4	1	150	3	7	1	26	27	5	3	1	4
AL592295.4	7	4	7	1	70	46	1	23	79	7	12	3	3
FCGR2A	7460	6307	4442	1305	15805	11812	227	9921	24133	1358	3131	3778	1866
HSPA6	327	118	192	47	736	488	52	1843	41973	2084	794	641	741
FCGR3A	19328	6147	16834	4849	37758	37752	653	24520	35894	1113	4076	3131	2788
FCGR3B	6	5	4	0	2614	1125	23	1216	3338	759	111	75	52
FCGR2B	386	235	922	151	583	907	30	1305	6219	177	509	807	221
FCRLA	1	0	2	0	2	3	0	25	84	1	3	0	6
FCRLB	48	90	121	12	50	48	4	69	532	10	33	21	52
DUSP12	326	171	316	96	706	597	19	472	1013	40	108	100	107
ATF6	1069	804	1240	219	1937	1787	56	1709	2874	141	367	234	185
OLFML2B	13	5	32	2	455	160	15	1884	1934	214	503	814	157
UHMK1	1994	1317	2427	280	1802	1646	40	1431	3396	134	327	113	233
UAP1	361	184	286	249	551	394	13	604	1444	33	221	102	120
DDR2	10	0	1	0	2	5	0	6	29	2	1	4	3
HSD17B7	499	196	399	89	727	742	18	358	1111	70	78	101	68
CCDC190	3	3	0	36	2	1	0	9	15	4	0	0	0
RGS5	7	2	13	0	11	4	0	1	6	1	2	2	3
RGS5.1	25	16	36	1	26	27	0	26	27	4	4	0	7
NUF2	11	5	19	6	18	16	0	14	22	0	5	4	10
PBX1	1	5	3	21	16	3	1	7	7	0	1	0	0
MGST3	35662	15275	22353	5080	23976	32341	862	9588	18231	893	2433	1962	1179
ALDH9A1	1314	766	1661	242	1493	1962	51	854	2384	70	264	203	136
TMCO1	4319	2027	3754	644	3973	3866	163	3690	6232	322	789	479	496
AL451074.2	3	6	3	0	13	21	0	16	32	0	6	3	4
UCK2	15	8	36	10	87	87	3	200	610	29	90	41	35
FAM78B	3	0	4	2	5	10	0	3	0	0	0	0	0
LINC01675	13	11	12	0	37	37	0	27	101	0	5	0	7
POGK	947	487	1046	179	1064	939	27	748	1479	77	183	96	89
TADA1	86	70	104	28	200	198	10	97	183	4	25	12	16
ILDR2	1	4	6	1	2	2	0	4	2	0	0	0	0
GPA33	534	330	505	254	787	542	13	29	26	0	11	2	12
DUSP27	23	10	29	15	43	18	0	3	2	0	0	0	0
AL451050.2	17	12	11	1	4	10	0	6	26	3	2	4	2
POU2F1	389	241	468	51	881	798	20	649	1300	103	87	101	52
CD247	33	7	10	1	55	34	5	129	231	6	5	21	11
CREG1	5332	3380	4815	982	14996	14056	558	17225	27246	3142	4709	4921	1094
AL031733.2	5	3	0	0	0	0	0	3	10	0	2	1	5
RCSD1	534	580	390	35	1775	926	33	968	2735	231	223	165	116
MPZL1	510	277	472	135	1102	1102	29	723	1949	250	216	118	99
MPC2	4027	1628	2161	1065	2842	4037	121	1101	2203	145	571	141	182
DCAF6	741	430	648	184	1191	1332	23	553	1382	97	210	81	79
GPR161	57	26	35	12	116	122	4	106	131	5	20	3	7
TIPRL	1368	790	1486	328	2207	2338	46	2211	4142	194	416	308	273
SFT2D2	2328	1349	2068	354	3711	2974	62	3431	10642	230	760	192	330
TBX19	78	58	152	10	272	281	9	168	548	20	23	12	13
XCL2	24	3	8	1	13	14	4	24	41	0	0	2	0
XCL1	30	1	3	0	63	26	0	50	48	0	0	1	0
DPT	4	4	1	0	4	0	0	0	0	0	0	0	0
AL031275.1	101	31	39	5	7	17	0	0	0	0	0	0	0
LINC00970	33	19	26	0	3	8	0	0	0	0	0	0	0
ATP1B1	11551	3927	11120	1125	4540	7200	165	1037	4388	112	387	43	220
NME7	358	173	267	83	493	409	6	269	406	17	49	28	28
BLZF1	497	235	567	84	2544	2025	61	1921	4183	199	503	315	145
CCDC181	0	1	0	35	3	0	0	11	6	2	4	2	2
SLC19A2	130	154	259	50	375	280	14	178	425	44	80	38	18
F5	8	1	24	2	5	9	0	164	659	16	107	16	23
C1orf112	76	40	114	13	113	111	0	57	81	10	12	4	7
SELL	61	18	22	12	1719	908	64	2132	5528	306	1008	462	113
METTL18	161	93	124	29	268	238	3	131	194	9	21	26	25
SCYL3	178	95	180	39	288	283	5	254	652	27	72	36	39
KIFAP3	483	295	366	83	680	648	21	367	403	29	63	24	25
AL354732.1	12	3	7	4	17	20	0	18	58	0	5	0	2
GORAB	188	160	359	38	469	452	19	256	675	33	58	53	54
MROH9	0	0	0	4	0	1	1	1	0	0	1	0	1
FMO4	191	155	250	26	395	359	4	120	147	12	16	8	18
PRRC2C	4014	2597	5040	519	8717	6655	208	6495	16179	917	1526	767	774
MYOCOS	3	4	0	0	0	0	0	6	13	1	1	5	2
VAMP4	815	350	952	138	1540	1452	65	1076	3085	78	274	390	177
METTL13	386	197	334	70	777	642	15	386	939	43	108	77	50
DNM3	8	3	13	2	12	8	0	6	24	2	4	0	3
PIGC	451	254	444	114	1065	965	26	779	1512	50	214	145	105
SUCO	292	206	474	52	870	687	32	826	1739	77	183	158	130
FASLG	7	0	6	1	41	29	0	34	59	0	0	1	2
TNFSF18	2	0	0	0	134	39	18	393	304	26	186	47	19
TNFSF4	10	0	7	1	9	3	1	30	9	1	1	0	0
AL645568.1	40	21	51	6	23	30	1	38	38	5	3	2	3
PRDX6	5426	3036	3552	1049	7657	8063	272	4722	11101	530	1500	1561	707
SLC9C2	2	0	1	3	11	12	3	5	2	0	0	1	0
ANKRD45	5	0	1	2	10	17	0	280	147	14	21	44	10
KLHL20	413	212	427	67	562	513	13	572	810	42	70	66	49
CENPL	70	34	58	18	100	82	5	92	138	10	18	7	11
DARS2	133	65	180	20	261	251	10	221	467	11	35	28	38
GAS5-AS1	21	10	10	0	3	2	0	2	7	3	1	0	0
ZBTB37	294	203	488	46	204	212	5	206	318	22	36	16	29
RC3H1	986	607	878	75	1520	1279	69	1874	3898	331	389	156	219
AL121983.2	24	3	4	0	30	17	0	13	31	3	1	5	4
RABGAP1L	1465	701	1096	159	6082	4853	212	4704	10178	553	1016	881	161
CACYBP	2356	1402	1960	529	3753	3809	126	3097	11335	366	787	1283	688
MRPS14	1781	866	808	298	2037	2049	56	1493	2956	90	299	258	244
KIAA0040	226	62	167	51	2647	1522	69	1997	5386	191	448	143	67
AL513329.1	4	3	6	1	8	16	0	15	9	0	4	2	1
COP1	1129	606	1121	244	1556	1423	44	1005	2636	86	271	103	122
AL590723.1	2	0	15	0	0	0	0	0	0	0	0	0	0
LINC01645	57	28	34	5	258	287	0	0	4	0	0	0	0
SEC16B	46	41	72	11	190	139	2	8	17	2	8	0	2
RASAL2-AS1	50	33	64	10	45	61	0	19	20	2	4	0	3
RASAL2	2036	1172	3378	263	2174	2627	33	448	760	55	152	23	57
C1orf220	4	2	11	0	12	12	0	2	12	0	1	0	2
AL137796.1	5	0	6	0	2	2	0	2	23	0	0	0	1
RALGPS2	40	34	66	19	110	117	3	103	307	13	28	8	16
ANGPTL1	65	20	2	4	37	30	0	2	0	0	0	0	1
FAM20B	337	178	364	65	334	345	8	333	762	30	81	19	37
TOR3A	658	394	735	178	2463	1970	60	907	3156	304	422	143	86
ABL2	642	392	856	117	1294	1072	86	2748	6599	612	955	325	444
SOAT1	2416	2066	3342	429	4375	5002	184	6573	11576	848	1515	1575	619
TOR1AIP2	1400	594	1294	168	1176	1022	28	1025	2128	97	262	115	133
AL353708.3	21	16	23	6	35	38	0	57	202	10	24	12	13
TOR1AIP1	1189	829	1579	177	3000	2746	54	1529	3024	136	398	184	161
AL353708.1	9	4	12	5	21	13	1	17	50	5	5	2	4
CEP350	1197	807	1661	164	3642	3251	66	1988	4042	207	428	182	188
QSOX1	3427	2204	3445	603	4479	4885	98	1850	5799	150	751	454	405
ACBD6	578	277	402	112	1260	1023	21	513	1100	39	189	136	100
XPR1	276	168	329	60	369	392	14	449	774	41	104	42	72
KIAA1614	2	5	5	1	2	37	0	14	3	0	5	0	1
AL162431.2	41	34	48	12	78	71	2	12	29	2	7	3	5
KIAA1614-AS1	37	17	49	13	68	42	0	20	35	1	3	6	4
STX6	1506	926	1781	221	2601	2248	47	1081	2788	99	310	186	115
MR1	2149	1345	2444	287	3439	3378	83	1400	3711	142	345	170	170
IER5	1577	877	3676	444	1528	1512	113	3641	12374	857	624	1056	305
LINC01732	6	4	11	8	3	5	0	1	1	1	0	0	2
GLUL	32595	13861	38685	6996	78818	55084	2493	53699	215018	4057	15978	10787	9547
RGSL1	4	5	1	0	0	0	0	0	0	0	0	0	0
RNASEL	489	267	546	60	1102	1133	34	346	1362	58	127	69	87
RGS16	36	5	13	4	9	21	3	103	1465	70	85	24	55
RGS8	4	3	1	0	4	0	0	0	0	0	0	0	0
NPL	1664	1106	1906	303	5119	2919	151	5091	10430	576	1957	1104	910
DHX9	1067	614	1269	203	1718	1703	55	1670	3348	127	385	188	288
LAMC1	21	20	20	20	37	24	2	139	297	48	81	37	5
LAMC2	3	0	8	13	11	4	0	8	29	1	4	1	0
SMG7	941	597	1128	112	1472	1258	29	943	2260	110	223	158	116
NCF2	8222	4810	10128	1955	18274	15263	348	7012	27741	724	2580	1301	1004
ARPC5	15372	8028	16684	3794	20251	18167	575	17499	42220	1623	3773	3552	3052
RGL1	45	20	72	9	2489	975	119	8569	22294	862	1636	1647	636
APOBEC4	0	0	0	13	2	2	0	9	24	0	0	0	0
COLGALT2	7	0	0	3	17	12	1	43	84	10	18	17	6
TSEN15	610	324	545	119	990	971	26	963	1914	63	180	164	154
C1orf21	27	33	10	8	68	18	3	286	1153	68	55	28	17
EDEM3	775	622	1090	115	1317	1188	34	1131	2168	112	237	154	174
FAM129A	1301	1125	2183	423	3986	2960	178	2723	7817	369	558	256	296
RNF2	908	424	859	91	712	644	33	588	1264	68	200	171	94
TRMT1L	595	389	710	109	1172	1056	35	891	1906	79	161	150	84
SWT1	133	85	92	13	210	165	5	413	798	48	60	36	27
IVNS1ABP	2939	1767	2872	577	2683	2503	138	2493	8821	362	1183	544	423
AL078644.2	2	0	2	0	1	1	0	5	30	2	7	2	3
HMCN1	6	0	6	2	10	3	0	14	15	5	2	3	13
TPR	1903	1252	1787	290	4571	4228	115	2539	4174	259	569	283	225
ODR4	518	350	537	91	737	712	21	519	953	64	138	89	83
OCLM	4	3	19	0	5	2	0	1	10	1	0	0	2
AL596220.1	9	3	8	0	10	7	0	2	6	0	0	2	2
PTGS2	46	42	385	17	107	55	21	341	1605	93	89	68	108
PACERR	4	0	9	1	3	2	0	7	16	4	2	8	4
PLA2G4A	138	111	227	24	375	304	13	262	798	23	50	33	55
ERVMER61-1	5	0	1	0	4	2	0	0	2	0	0	0	1
RGS18	562	351	592	20	815	175	6	383	242	53	72	16	16
AL390957.1	9	5	9	1	8	3	0	8	10	1	1	0	1
RGS1	257	144	2470	162	2730	1512	402	8716	5607	2001	3768	1494	257
RGS13	6	0	7	4	12	5	3	29	6	5	12	2	2
AL136454.1	171	112	7	61	24	24	2	32	34	1	14	24	18
RGS2	177	116	271	254	308	358	92	3148	5403	454	1559	1402	229
UCHL5	536	306	616	100	1261	1352	23	774	1408	56	217	132	134
TROVE2	1054	779	1149	141	1514	1490	44	1273	2664	111	363	142	205
GLRX2	1859	945	1278	282	2524	3092	92	2112	2974	130	422	249	271
CDC73	838	518	955	151	2417	2015	86	2355	5895	175	671	267	241
B3GALT2	7	0	5	0	13	16	2	19	27	2	5	1	2
CFH	21	13	15	28	100	91	4	342	526	24	22	22	14
CFHR1	5	0	14	0	1	7	0	0	0	0	0	0	0
ASPM	8	3	4	0	3	2	0	22	32	0	4	2	17
ZBTB41	301	225	372	38	390	328	11	214	462	27	45	18	33
CRB1	60	4	49	0	5	21	0	2	0	0	0	0	0
DENND1B	694	329	1357	138	1539	1251	85	2027	7299	224	528	143	238
C1orf53	115	43	45	27	245	226	10	90	266	3	50	15	15
NEK7	913	503	1223	164	1296	1325	45	1216	2526	101	257	133	109
PTPRC	10343	6899	13824	1131	18553	19195	434	12783	28874	1169	3165	767	1513
MIR181A1HG	167	88	248	41	532	279	20	723	1019	77	146	131	78
LINC00862	3	2	4	0	2	3	0	4	4	1	1	0	0
ZNF281	454	309	641	102	711	585	14	1047	1922	174	173	136	110
KIF14	11	2	6	1	10	19	0	12	29	2	7	5	11
DDX59	303	180	501	89	948	719	26	1071	1560	87	279	116	92
CAMSAP2	614	300	660	67	975	731	21	889	993	81	153	73	67
INAVA	2	3	1	7	2	0	2	3	9	2	4	2	1
KIF21B	53	32	60	5	77	94	4	117	281	18	25	31	24
TMEM9	393	147	184	84	793	670	27	402	703	61	137	133	22
LAD1	5	0	7	1	1	0	0	1	3	13	6	2	0
TNNI1	114	63	121	16	38	59	0	0	2	0	0	0	0
PHLDA3	6494	1975	4641	2208	3018	3907	174	295	772	25	136	25	120
CSRP1	1466	590	1410	461	3305	3164	88	792	2039	123	476	260	266
AC096677.1	69	64	38	8	139	124	4	46	149	7	7	7	17
NAV1	225	71	246	26	331	205	8	219	312	26	117	23	27
IPO9-AS1	5	4	7	1	23	22	2	8	42	4	5	3	4
IPO9	312	188	492	70	690	614	30	670	1208	49	151	93	63
SHISA4	265	73	92	75	545	575	3	121	272	26	45	31	17
AL513217.1	3	0	1	0	1	2	0	2	1	1	0	0	1
TIMM17A	1519	708	1124	415	2933	2594	100	2221	5575	301	684	444	497
RNPEP	2499	1245	2117	520	3955	4915	134	2243	5410	291	825	538	351
ELF3-AS1	0	0	0	4	1	0	0	3	7	7	2	0	0
ELF3	10	9	12	318	20	16	2	77	201	60	55	15	9
ARL8A	1341	620	1423	309	1528	1232	135	3590	6633	383	723	740	423
PTPN7	123	10	76	13	124	86	13	495	1661	88	210	58	105
UBE2T	153	62	108	23	184	191	6	50	70	2	17	5	22
PPP1R12B	139	77	209	26	176	166	8	219	440	27	32	30	24
KDM5B	235	109	274	34	270	305	12	329	811	58	73	47	71
PCAT6	13	10	10	2	6	23	0	8	23	4	3	0	5
RABIF	1210	465	598	274	1596	1576	59	1728	3121	182	378	322	176
KLHL12	429	264	561	86	674	566	34	599	1152	71	143	110	99
ADIPOR1	2147	1226	2131	839	5623	5238	191	2719	7375	543	1178	602	379
CYB5R1	1445	741	1283	287	1575	2200	36	563	1707	109	229	176	102
TMEM183A	1065	574	825	302	1860	1679	52	1521	4614	138	562	361	201
PPFIA4	7	0	3	0	1	0	0	3	3	0	0	0	0
ADORA1	251	71	123	45	178	188	0	0	0	0	0	0	0
CHI3L1	298	314	230	219	571	426	11	161	2395	7	843	3	19
CHIT1	635	789	114	43	38	33	0	105	550	15	184	0	2
LINC01353	140	101	27	8	114	95	0	16	54	3	11	4	8
LINC01136	61	8	8	0	13	3	0	19	91	1	5	7	7
BTG2	1482	1100	1293	358	1908	1934	91	1116	6969	257	432	346	254
FMOD	1	0	0	0	0	0	0	0	0	0	0	0	1
ATP2B4	202	60	210	35	254	214	20	413	438	19	116	14	53
LAX1	8	4	8	0	18	17	2	11	37	1	0	3	9
ZC3H11A	15	14	22	1	394	312	9	161	413	25	37	15	21
SNRPE	5826	3350	2516	900	5265	4689	160	4070	7439	260	752	538	705
SOX13	130	58	118	13	163	266	15	56	89	6	22	4	12
PLEKHA6	6	7	23	4	19	5	0	6	5	1	0	0	4
PPP1R15B	490	278	1240	153	781	706	60	1821	4176	183	448	275	175
PIK3C2B	38	31	83	10	52	59	1	15	46	3	7	2	5
MDM4	1880	777	2328	141	832	715	29	1074	2282	126	193	188	197
AL512306.3	6	4	3	3	2	2	0	6	15	0	1	2	0
AL512306.2	1	0	6	0	19	10	1	24	82	3	2	0	6
CNTN2	11	12	9	1	0	0	0	2	4	1	0	0	0
TMEM81	9	6	16	6	14	13	0	12	47	5	1	1	1
RBBP5	589	281	764	71	731	665	14	596	1120	87	116	97	85
DSTYK	288	149	341	70	315	337	2	235	410	21	44	19	22
TMCC2	4	2	6	0	2	3	0	1	5	0	2	0	0
NUAK2	24	26	61	15	48	103	7	75	199	35	21	7	4
CDK18	225	136	222	95	755	699	30	217	458	71	61	48	17
MFSD4A	48	5	36	5	12	16	0	2	3	0	3	1	2
ELK4	721	385	980	96	891	808	15	716	1572	86	132	52	106
SLC45A3	49	17	53	15	61	68	2	25	59	2	14	4	4
NUCKS1	5802	3351	5405	616	6193	5829	210	2929	4860	277	650	374	335
RAB29	976	529	1212	210	1995	1704	81	1320	2693	115	250	106	120
SLC41A1	61	29	31	16	107	89	1	48	176	12	14	9	11
PM20D1	28	23	4	0	19	9	0	0	3	0	0	0	0
RAB7B	670	294	700	225	990	872	77	565	1453	54	444	105	381
CTSE	4	0	3	0	0	4	0	1	13	0	1	0	0
RHEX	2	0	0	4	5	3	0	1	5	0	0	0	3
FAM72A	157	69	145	38	782	555	28	899	3228	76	327	211	96
SRGAP2	339	157	512	56	2058	1437	113	3498	9928	524	1275	1039	250
IKBKE	276	147	333	64	1850	1178	24	767	4941	225	294	179	174
AC244034.2	4	3	4	0	5	3	0	8	29	0	0	0	1
RASSF5	1007	598	956	359	2001	1583	61	1189	4201	176	556	143	147
EIF2D	364	210	397	119	648	660	17	202	564	26	92	27	30
DYRK3	17	11	13	7	32	41	5	34	102	38	23	7	23
MAPKAPK2	903	448	1069	226	1348	1298	60	2128	4178	334	618	428	338
IL10	49	28	28	4	485	307	19	1421	1780	101	308	602	264
FCMR	44	94	46	0	118	144	16	132	191	29	33	65	27
PIGR	4	16	3	374	11	7	3	32	51	5	70	4	12
C1orf116	0	1	0	9	0	0	0	4	20	0	4	3	1
PFKFB2	307	185	263	41	263	265	4	58	103	8	14	3	8
YOD1	99	62	123	21	118	98	7	116	301	19	24	20	20
C4BPB	25	0	3	0	20	24	0	5	19	1	2	0	2
CD55	1778	791	1573	631	4064	3857	135	6529	8756	469	1528	551	529
CR1	710	687	1179	65	765	924	20	735	1149	39	174	45	45
CR1L	46	17	16	10	243	248	12	195	390	39	24	8	6
CD46	4425	3044	5956	681	3756	4973	94	2055	5114	259	510	150	258
MIR29B2CHG	763	495	733	126	454	471	11	259	1103	55	70	45	70
PLXNA2	92	122	187	29	373	482	10	82	136	15	28	15	8
LAMB3	11	5	8	18	20	23	0	85	273	34	45	11	15
AL031316.1	66	32	94	89	9	16	0	12	56	6	3	0	2
G0S2	123	52	24	356	206	102	80	1557	15079	3055	805	643	442
HSD11B1	84	38	57	52	226	99	7	141	1157	46	33	1	20
